cross_time	nbr_breaks	Group_m1	Group_m2	Group_m2	Group_m3	Group_m3	Group_c1	Group_sattr	Group_vattr	Group_m_att	Group_c_att	Group_at_rep	Group_m_rep
2.000000e+02	1.700000e+01	4.276606e-01	1.218492e-01	8.812177e-01	9.494688e-01	6.771196e-01	2.749901e-02	4.948374e+00	4.379281e+03	5.478484e-01	3.599473e-01	5.323755e+01	1.629650e+01
2.000000e+02	1.400000e+01	3.855314e-01	1.218492e-01	8.812177e-01	9.494688e-01	6.771196e-01	2.749901e-02	4.948374e+00	4.379281e+03	5.478484e-01	3.599473e-01	5.323755e+01	1.629650e+01
2.000000e+02	9.000000e+00	4.276606e-01	1.859555e-01	5.715204e-02	9.494688e-01	6.771196e-01	2.749901e-02	4.948374e+00	4.379281e+03	5.478484e-01	3.599473e-01	5.323755e+01	1.629650e+01
2.000000e+02	9.000000e+00	4.276606e-01	1.218492e-01	8.812177e-01	3.998739e-01	5.371883e-01	2.749901e-02	4.948374e+00	4.379281e+03	5.478484e-01	3.599473e-01	5.323755e+01	1.629650e+01
2.000000e+02	4.000000e+00	4.276606e-01	1.218492e-01	8.812177e-01	9.494688e-01	6.771196e-01	5.781905e-01	4.948374e+00	4.379281e+03	5.478484e-01	3.599473e-01	5.323755e+01	1.629650e+01
2.000000e+02	4.000000e+00	4.276606e-01	1.218492e-01	8.812177e-01	9.494688e-01	6.771196e-01	2.749901e-02	1.695012e+00	4.379281e+03	5.478484e-01	3.599473e-01	5.323755e+01	1.629650e+01
2.000000e+02	1.200000e+01	4.276606e-01	1.218492e-01	8.812177e-01	9.494688e-01	6.771196e-01	2.749901e-02	4.948374e+00	3.816787e+03	5.478484e-01	3.599473e-01	5.323755e+01	1.629650e+01
2.000000e+02	2.000000e+00	4.276606e-01	1.218492e-01	8.812177e-01	9.494688e-01	6.771196e-01	2.749901e-02	4.948374e+00	4.379281e+03	1.601517e-01	3.599473e-01	5.323755e+01	1.629650e+01
2.000000e+02	5.000000e+00	4.276606e-01	1.218492e-01	8.812177e-01	9.494688e-01	6.771196e-01	2.749901e-02	4.948374e+00	4.379281e+03	5.478484e-01	9.287013e-01	5.323755e+01	1.629650e+01
2.000000e+02	6.000000e+00	4.276606e-01	1.218492e-01	8.812177e-01	9.494688e-01	6.771196e-01	2.749901e-02	4.948374e+00	4.379281e+03	5.478484e-01	3.599473e-01	3.010624e+01	1.629650e+01
2.000000e+02	1.000000e+01	4.276606e-01	1.218492e-01	8.812177e-01	9.494688e-01	6.771196e-01	2.749901e-02	4.948374e+00	4.379281e+03	5.478484e-01	3.599473e-01	5.323755e+01	9.987783e+01
2.000000e+02	0.000000e+00	4.276606e-01	1.859555e-01	5.715204e-02	3.998739e-01	5.371883e-01	5.781905e-01	1.695012e+00	3.816787e+03	1.601517e-01	9.287013e-01	3.010624e+01	9.987783e+01
4.000000e+02	2.000000e+00	3.855314e-01	1.218492e-01	8.812177e-01	3.998739e-01	5.371883e-01	5.781905e-01	1.695012e+00	3.816787e+03	1.601517e-01	9.287013e-01	3.010624e+01	9.987783e+01
4.000000e+02	1.000000e+00	3.855314e-01	1.859555e-01	5.715204e-02	9.494688e-01	6.771196e-01	5.781905e-01	1.695012e+00	3.816787e+03	1.601517e-01	9.287013e-01	3.010624e+01	9.987783e+01
2.000000e+02	1.000000e+00	3.855314e-01	1.859555e-01	5.715204e-02	3.998739e-01	5.371883e-01	2.749901e-02	1.695012e+00	3.816787e+03	1.601517e-01	9.287013e-01	3.010624e+01	9.987783e+01
2.000000e+02	1.000000e+00	3.855314e-01	1.859555e-01	5.715204e-02	3.998739e-01	5.371883e-01	5.781905e-01	4.948374e+00	3.816787e+03	1.601517e-01	9.287013e-01	3.010624e+01	9.987783e+01
2.000000e+02	0.000000e+00	3.855314e-01	1.859555e-01	5.715204e-02	3.998739e-01	5.371883e-01	5.781905e-01	1.695012e+00	4.379281e+03	1.601517e-01	9.287013e-01	3.010624e+01	9.987783e+01
2.000000e+02	0.000000e+00	3.855314e-01	1.859555e-01	5.715204e-02	3.998739e-01	5.371883e-01	5.781905e-01	1.695012e+00	3.816787e+03	5.478484e-01	9.287013e-01	3.010624e+01	9.987783e+01
2.000000e+02	0.000000e+00	3.855314e-01	1.859555e-01	5.715204e-02	3.998739e-01	5.371883e-01	5.781905e-01	1.695012e+00	3.816787e+03	1.601517e-01	3.599473e-01	3.010624e+01	9.987783e+01
2.000000e+02	0.000000e+00	3.855314e-01	1.859555e-01	5.715204e-02	3.998739e-01	5.371883e-01	5.781905e-01	1.695012e+00	3.816787e+03	1.601517e-01	9.287013e-01	5.323755e+01	9.987783e+01
2.000000e+02	0.000000e+00	3.855314e-01	1.859555e-01	5.715204e-02	3.998739e-01	5.371883e-01	5.781905e-01	1.695012e+00	3.816787e+03	1.601517e-01	9.287013e-01	3.010624e+01	1.629650e+01
4.000000e+02	0.000000e+00	3.855314e-01	1.859555e-01	5.715204e-02	3.998739e-01	5.371883e-01	5.781905e-01	1.695012e+00	3.816787e+03	1.601517e-01	9.287013e-01	3.010624e+01	9.987783e+01
2.000000e+02	3.000000e+00	7.132259e-02	6.298969e-01	2.329467e-01	9.795261e-02	8.310975e-01	4.299458e-01	1.904468e+00	5.468174e+03	7.860906e-01	2.090055e-01	2.445193e+01	3.250417e+01
2.000000e+02	0.000000e+00	5.767779e-01	6.298969e-01	2.329467e-01	9.795261e-02	8.310975e-01	4.299458e-01	1.904468e+00	5.468174e+03	7.860906e-01	2.090055e-01	2.445193e+01	3.250417e+01
4.000000e+02	6.000000e+00	7.132259e-02	6.814483e-01	3.438598e-01	9.795261e-02	8.310975e-01	4.299458e-01	1.904468e+00	5.468174e+03	7.860906e-01	2.090055e-01	2.445193e+01	3.250417e+01
2.000000e+02	1.000000e+01	7.132259e-02	6.298969e-01	2.329467e-01	5.185624e-01	8.980909e-01	4.299458e-01	1.904468e+00	5.468174e+03	7.860906e-01	2.090055e-01	2.445193e+01	3.250417e+01
