growth_rate	epi_size	cell_definitions/cell_definition/phenotype/secretion/substrate/secretion_rate_epi_inter___div_inhib	microenvironment_setup/variable/physical_parameter_set/diffusion_coefficient___div_inhib	microenvironment_setup/variable/physical_parameter_set/decay_rate___div_inhib	cell_definitions/cell_definition/phenotype/death/model/death_rate_epi_inter___	[_'_c_e_l_l___r_u_l_e_'_,_ _'_1_'_,_ _'_5_'_]	[_'_c_e_l_l___r_u_l_e_'_,_ _'_2_'_,_ _'_5_'_]
9.134859e-03	1.639688e+02	3.699849e+02	7.600428e+02	9.382424e+00	7.247186e-04	3.254747e+00	1.318759e+00
9.134859e-03	1.639688e+02	3.699849e+02	7.600428e+02	9.382424e+00	7.247186e-04	3.254747e+00	4.528284e-01
9.134859e-03	1.639688e+02	9.070145e+02	5.385342e+02	6.578060e+00	4.664605e-04	2.770642e-02	3.371265e+00
9.134859e-03	1.639688e+02	6.371893e+02	5.385342e+02	6.578060e+00	4.664605e-04	2.770642e-02	3.371265e+00
9.134859e-03	1.639688e+02	9.070145e+02	1.003247e+03	6.578060e+00	4.664605e-04	2.770642e-02	3.371265e+00
9.134859e-03	1.639688e+02	9.070145e+02	5.385342e+02	5.121625e+01	4.664605e-04	2.770642e-02	3.371265e+00
1.006805e-01	1.684545e+02	9.070145e+02	5.385342e+02	6.578060e+00	3.997779e-05	2.770642e-02	3.371265e+00
9.134859e-03	1.639688e+02	9.070145e+02	5.385342e+02	6.578060e+00	4.664605e-04	1.191031e+00	3.371265e+00
9.134859e-03	1.639688e+02	9.070145e+02	5.385342e+02	6.578060e+00	4.664605e-04	2.770642e-02	3.073097e+00
1.006805e-01	1.684545e+02	9.070145e+02	1.003247e+03	5.121625e+01	3.997779e-05	1.191031e+00	3.073097e+00
1.006805e-01	1.684545e+02	6.371893e+02	5.385342e+02	5.121625e+01	3.997779e-05	1.191031e+00	3.073097e+00
1.006805e-01	1.684545e+02	6.371893e+02	1.003247e+03	6.578060e+00	3.997779e-05	1.191031e+00	3.073097e+00
9.134859e-03	1.639688e+02	6.371893e+02	1.003247e+03	5.121625e+01	4.664605e-04	1.191031e+00	3.073097e+00
1.006805e-01	1.684545e+02	6.371893e+02	1.003247e+03	5.121625e+01	3.997779e-05	2.770642e-02	3.073097e+00
1.006805e-01	1.684545e+02	6.371893e+02	1.003247e+03	5.121625e+01	3.997779e-05	1.191031e+00	3.371265e+00
1.006805e-01	1.684545e+02	6.371893e+02	1.003247e+03	5.121625e+01	3.997779e-05	1.191031e+00	3.073097e+00
1.006805e-01	1.684545e+02	9.644854e+02	1.100298e+03	5.422799e+01	1.468206e-05	2.416982e+00	3.984274e+00
1.006805e-01	1.684545e+02	1.426801e+01	1.100298e+03	5.422799e+01	1.468206e-05	2.416982e+00	3.984274e+00
1.006805e-01	1.684545e+02	9.644854e+02	1.257783e+03	5.422799e+01	1.468206e-05	2.416982e+00	3.984274e+00
1.006805e-01	1.684545e+02	9.644854e+02	1.100298e+03	9.804684e+01	1.468206e-05	2.416982e+00	3.984274e+00
9.134859e-03	1.639688e+02	9.644854e+02	1.100298e+03	5.422799e+01	5.660718e-04	2.416982e+00	3.984274e+00
1.006805e-01	1.684545e+02	9.644854e+02	1.100298e+03	5.422799e+01	1.468206e-05	1.406544e+00	3.984274e+00
1.006805e-01	1.684545e+02	9.644854e+02	1.100298e+03	5.422799e+01	1.468206e-05	2.416982e+00	3.633253e+00
9.134859e-03	1.639688e+02	9.644854e+02	1.257783e+03	9.804684e+01	5.660718e-04	1.406544e+00	3.633253e+00
9.134859e-03	1.639688e+02	1.426801e+01	1.100298e+03	9.804684e+01	5.660718e-04	1.406544e+00	3.633253e+00
9.134859e-03	1.639688e+02	1.426801e+01	1.257783e+03	5.422799e+01	5.660718e-04	1.406544e+00	3.633253e+00
1.006805e-01	1.684545e+02	1.426801e+01	1.257783e+03	9.804684e+01	1.468206e-05	1.406544e+00	3.633253e+00
9.134859e-03	1.639688e+02	1.426801e+01	1.257783e+03	9.804684e+01	5.660718e-04	2.416982e+00	3.633253e+00
9.134859e-03	1.639688e+02	1.426801e+01	1.257783e+03	9.804684e+01	5.660718e-04	1.406544e+00	3.984274e+00
9.134859e-03	1.639688e+02	1.426801e+01	1.257783e+03	9.804684e+01	5.660718e-04	1.406544e+00	3.633253e+00
9.134859e-03	1.639688e+02	4.304619e+02	8.131414e+02	1.501993e+00	8.006673e-04	8.198745e-01	1.922031e+00
9.134859e-03	1.639688e+02	9.958451e+02	8.131414e+02	1.501993e+00	8.006673e-04	8.198745e-01	1.922031e+00
9.134859e-03	1.639688e+02	4.304619e+02	5.145397e+02	1.501993e+00	8.006673e-04	8.198745e-01	1.922031e+00
9.134859e-03	1.639688e+02	4.304619e+02	8.131414e+02	4.302993e+01	8.006673e-04	8.198745e-01	1.922031e+00
1.006805e-01	1.684545e+02	4.304619e+02	8.131414e+02	1.501993e+00	1.269349e-04	8.198745e-01	1.922031e+00
9.134859e-03	1.639688e+02	4.304619e+02	8.131414e+02	1.501993e+00	8.006673e-04	3.040734e+00	1.922031e+00
9.134859e-03	1.639688e+02	4.304619e+02	8.131414e+02	1.501993e+00	8.006673e-04	8.198745e-01	7.673099e-01
1.006805e-01	1.684545e+02	4.304619e+02	5.145397e+02	4.302993e+01	1.269349e-04	3.040734e+00	7.673099e-01
1.006805e-01	1.684545e+02	9.958451e+02	8.131414e+02	4.302993e+01	1.269349e-04	3.040734e+00	7.673099e-01
1.006805e-01	1.684545e+02	9.958451e+02	5.145397e+02	1.501993e+00	1.269349e-04	3.040734e+00	7.673099e-01
9.134859e-03	1.639688e+02	9.958451e+02	5.145397e+02	4.302993e+01	8.006673e-04	3.040734e+00	7.673099e-01
1.006805e-01	1.684545e+02	9.958451e+02	5.145397e+02	4.302993e+01	1.269349e-04	8.198745e-01	7.673099e-01
1.006805e-01	1.684545e+02	9.958451e+02	5.145397e+02	4.302993e+01	1.269349e-04	3.040734e+00	1.922031e+00
