growth_rate	epi_size	cell_definitions/cell_definition/phenotype/secretion/substrate/secretion_rate_epi_inter___div_inhib	microenvironment_setup/variable/physical_parameter_set/diffusion_coefficient___div_inhib	microenvironment_setup/variable/physical_parameter_set/decay_rate___div_inhib
9.651078e-01	2.633882e+02	5.213878e+02	5.269116e+02	2.484228e-01
9.651078e-01	2.633882e+02	5.213878e+02	6.766759e+02	2.484228e-01
9.651078e-01	2.633882e+02	1.414011e+02	5.269116e+02	2.484228e-01
9.651078e-01	2.633882e+02	1.414011e+02	6.766759e+02	3.033371e-01
9.651078e-01	2.633882e+02	1.414011e+02	6.766759e+02	2.484228e-01
9.651078e-01	2.633882e+02	6.394606e+02	1.490194e+03	4.282554e-01
1.287991e+00	2.953536e+02	2.263246e+00	1.490194e+03	4.282554e-01
9.651078e-01	2.633882e+02	6.394606e+02	5.163787e+02	4.282554e-01
9.651078e-01	2.633882e+02	6.394606e+02	1.490194e+03	7.374335e-02
9.651078e-01	2.633882e+02	6.394606e+02	5.163787e+02	7.374335e-02
1.287991e+00	2.953536e+02	2.263246e+00	1.490194e+03	7.374335e-02
1.287991e+00	2.953536e+02	2.263246e+00	5.163787e+02	4.282554e-01
1.287991e+00	2.953536e+02	2.263246e+00	5.163787e+02	7.374335e-02
9.427508e-01	2.611749e+02	8.799240e+00	6.888960e+02	1.326893e-01
1.209646e+00	2.878981e+02	7.792654e+02	6.888960e+02	1.326893e-01
9.427508e-01	2.611749e+02	8.799240e+00	1.189805e+03	1.326893e-01
9.427508e-01	2.611749e+02	8.799240e+00	6.888960e+02	3.902509e-01
9.427508e-01	2.611749e+02	8.799240e+00	1.189805e+03	3.902509e-01
9.651078e-01	2.633882e+02	7.792654e+02	6.888960e+02	3.902509e-01
9.651078e-01	2.633882e+02	7.792654e+02	1.189805e+03	1.326893e-01
9.651078e-01	2.633882e+02	7.792654e+02	1.189805e+03	3.902509e-01
9.651078e-01	2.633882e+02	2.612544e+02	1.175726e+03	3.768421e-01
9.651078e-01	2.633882e+02	3.403010e+02	1.175726e+03	3.768421e-01
9.651078e-01	2.633882e+02	2.612544e+02	1.456455e+03	3.768421e-01
9.651078e-01	2.633882e+02	2.612544e+02	1.175726e+03	3.138386e-01
9.651078e-01	2.633882e+02	2.612544e+02	1.456455e+03	3.138386e-01
9.651078e-01	2.633882e+02	3.403010e+02	1.175726e+03	3.138386e-01
9.651078e-01	2.633882e+02	3.403010e+02	1.456455e+03	3.768421e-01
9.651078e-01	2.633882e+02	3.403010e+02	1.456455e+03	3.138386e-01
9.651078e-01	2.633882e+02	8.783370e+02	8.822403e+02	1.656464e-01
9.651078e-01	2.633882e+02	5.699955e+02	8.822403e+02	1.656464e-01
9.651078e-01	2.633882e+02	8.783370e+02	7.518975e+02	1.656464e-01
9.651078e-01	2.633882e+02	8.783370e+02	8.822403e+02	2.082652e-01
9.651078e-01	2.633882e+02	8.783370e+02	7.518975e+02	2.082652e-01
9.651078e-01	2.633882e+02	5.699955e+02	8.822403e+02	2.082652e-01
9.651078e-01	2.633882e+02	5.699955e+02	7.518975e+02	1.656464e-01
9.651078e-01	2.633882e+02	5.699955e+02	7.518975e+02	2.082652e-01
9.651078e-01	2.633882e+02	9.411237e+02	1.330501e+03	3.552266e-01
9.651078e-01	2.633882e+02	8.550661e+02	1.330501e+03	3.552266e-01
9.651078e-01	2.633882e+02	9.411237e+02	1.275656e+03	3.552266e-01
9.651078e-01	2.633882e+02	9.411237e+02	1.330501e+03	2.234492e-01
9.651078e-01	2.633882e+02	9.411237e+02	1.275656e+03	2.234492e-01
9.651078e-01	2.633882e+02	8.550661e+02	1.330501e+03	2.234492e-01
9.651078e-01	2.633882e+02	8.550661e+02	1.275656e+03	3.552266e-01
9.651078e-01	2.633882e+02	8.550661e+02	1.275656e+03	2.234492e-01
9.651078e-01	2.633882e+02	3.230989e+02	6.005498e+02	2.003357e-01
9.651078e-01	2.633882e+02	1.176084e+02	6.005498e+02	2.003357e-01
9.651078e-01	2.633882e+02	3.230989e+02	9.461523e+02	2.003357e-01
9.651078e-01	2.633882e+02	3.230989e+02	6.005498e+02	3.571579e-01
9.651078e-01	2.633882e+02	3.230989e+02	9.461523e+02	3.571579e-01
9.651078e-01	2.633882e+02	1.176084e+02	6.005498e+02	3.571579e-01
9.651078e-01	2.633882e+02	1.176084e+02	9.461523e+02	2.003357e-01
9.883911e-01	2.659673e+02	1.176084e+02	9.461523e+02	3.571579e-01
9.651078e-01	2.633882e+02	7.033593e+01	1.019939e+03	3.934562e-01
9.651078e-01	2.633882e+02	5.492246e+02	1.019939e+03	3.934562e-01
9.651078e-01	2.633882e+02	7.033593e+01	7.128024e+02	3.934562e-01
9.651078e-01	2.633882e+02	7.033593e+01	1.019939e+03	4.880659e-01
9.651078e-01	2.633882e+02	7.033593e+01	7.128024e+02	4.880659e-01
9.651078e-01	2.633882e+02	5.492246e+02	1.019939e+03	4.880659e-01
