growth_rate	epi_size	cell_definitions/cell_definition/phenotype/secretion/substrate/secretion_rate_epi_inter___div_inhib	microenvironment_setup/variable/physical_parameter_set/diffusion_coefficient___div_inhib	microenvironment_setup/variable/physical_parameter_set/decay_rate___div_inhib	[_'_c_e_l_l___r_u_l_e_'_,_ _1_,_ _5_]
7.208141e-02	1.751271e+02	7.866417e+02	1.238760e+03	2.964039e-01	1.299237e-01
7.208141e-02	1.751271e+02	7.830497e+02	7.320714e+02	2.964039e-01	1.299237e-01
7.208141e-02	1.751271e+02	7.830497e+02	1.238760e+03	3.549579e-01	1.299237e-01
2.308984e-01	1.908500e+02	7.830497e+02	1.238760e+03	2.964039e-01	2.768708e-01
7.208141e-02	1.751271e+02	7.830497e+02	1.238760e+03	2.964039e-01	1.299237e-01
1.314716e+00	2.982500e+02	7.778712e+02	1.026440e+03	9.983593e-02	3.524798e+00
1.314716e+00	2.982500e+02	4.741723e+02	1.026440e+03	9.983593e-02	3.524798e+00
1.314716e+00	2.982500e+02	7.778712e+02	8.594509e+02	9.983593e-02	3.524798e+00
1.314716e+00	2.982500e+02	7.778712e+02	1.026440e+03	4.551342e-01	3.524798e+00
1.314716e+00	2.982500e+02	7.778712e+02	1.026440e+03	9.983593e-02	3.144926e+00
1.314716e+00	2.982500e+02	7.778712e+02	8.594509e+02	4.551342e-01	3.144926e+00
1.314716e+00	2.982500e+02	4.741723e+02	1.026440e+03	4.551342e-01	3.144926e+00
1.314716e+00	2.982500e+02	4.741723e+02	8.594509e+02	9.983593e-02	3.144926e+00
1.314716e+00	2.982500e+02	4.741723e+02	8.594509e+02	4.551342e-01	3.524798e+00
1.314716e+00	2.982500e+02	4.741723e+02	8.594509e+02	4.551342e-01	3.144926e+00
1.314716e+00	2.982500e+02	3.077805e+02	6.967275e+02	4.943858e-01	1.965330e+00
1.314716e+00	2.982500e+02	6.716137e+02	6.967275e+02	4.943858e-01	1.965330e+00
1.314716e+00	2.982500e+02	3.077805e+02	1.422881e+03	4.943858e-01	1.965330e+00
1.314716e+00	2.982500e+02	3.077805e+02	6.967275e+02	2.216159e-01	1.965330e+00
1.147810e-01	1.793544e+02	3.077805e+02	6.967275e+02	4.943858e-01	2.130560e-01
1.147810e-01	1.793544e+02	3.077805e+02	1.422881e+03	2.216159e-01	2.130560e-01
1.147810e-01	1.793544e+02	6.716137e+02	6.967275e+02	2.216159e-01	2.130560e-01
1.147810e-01	1.793544e+02	6.716137e+02	1.422881e+03	4.943858e-01	2.130560e-01
1.314716e+00	2.982500e+02	6.716137e+02	1.422881e+03	2.216159e-01	1.965330e+00
1.147810e-01	1.793544e+02	6.716137e+02	1.422881e+03	2.216159e-01	2.130560e-01
1.314716e+00	2.982500e+02	1.526354e+01	1.252941e+03	2.316797e-01	2.924754e+00
1.314716e+00	2.982500e+02	9.802089e+02	1.252941e+03	2.316797e-01	2.924754e+00
1.314716e+00	2.982500e+02	1.526354e+01	1.196813e+03	2.316797e-01	2.924754e+00
1.314716e+00	2.982500e+02	1.526354e+01	1.252941e+03	3.139612e-01	2.924754e+00
1.314716e+00	2.982500e+02	1.526354e+01	1.252941e+03	2.316797e-01	1.770390e+00
1.314716e+00	2.982500e+02	1.526354e+01	1.196813e+03	3.139612e-01	1.770390e+00
1.371869e+00	3.039081e+02	9.802089e+02	1.252941e+03	3.139612e-01	1.770390e+00
1.371869e+00	3.039081e+02	9.802089e+02	1.196813e+03	2.316797e-01	1.770390e+00
1.314716e+00	2.982500e+02	9.802089e+02	1.196813e+03	3.139612e-01	2.924754e+00
1.371869e+00	3.039081e+02	9.802089e+02	1.196813e+03	3.139612e-01	1.770390e+00
7.081647e-01	2.382014e+02	5.401485e+02	9.544786e+02	2.887104e-01	6.328091e-01
7.081647e-01	2.382014e+02	1.588640e+02	9.544786e+02	2.887104e-01	6.328091e-01
7.081647e-01	2.382014e+02	5.401485e+02	5.084124e+02	2.887104e-01	6.328091e-01
7.081647e-01	2.382014e+02	5.401485e+02	9.544786e+02	8.154934e-02	6.328091e-01
1.314716e+00	2.982500e+02	5.401485e+02	9.544786e+02	2.887104e-01	2.828554e+00
1.314716e+00	2.982500e+02	5.401485e+02	5.084124e+02	8.154934e-02	2.828554e+00
1.314716e+00	2.982500e+02	1.588640e+02	9.544786e+02	8.154934e-02	2.828554e+00
1.314716e+00	2.982500e+02	1.588640e+02	5.084124e+02	2.887104e-01	2.828554e+00
7.081647e-01	2.382014e+02	1.588640e+02	5.084124e+02	8.154934e-02	6.328091e-01
