cross	cell_definitions/cell_definition/phenotype/mechanics/cell_adhesion_affinities/cell_adhesion_affinity_membrane_membrane	cell_definitions/cell_definition/phenotype/mechanics/cell_adhesion_affinities/cell_adhesion_affinity_membrane_attracted	cell_definitions/cell_definition/phenotype/mechanics/cell_adhesion_affinities/cell_adhesion_affinity_attracted_membrane	cell_definitions/cell_definition/phenotype/motility/migration_bias_attracted	cell_definitions/cell_definition/phenotype/volume/total_attracted
0.000000e+00	4.736289e-01	1.378937e-01	9.314797e-01	8.785985e-02	3.442434e+03
0.000000e+00	4.736289e-01	1.378937e-01	9.314797e-01	8.785985e-02	4.547494e+03
0.000000e+00	6.074354e-01	9.661871e-01	6.703647e-01	2.394454e-01	3.292446e+03
0.000000e+00	1.844338e-01	9.661871e-01	6.703647e-01	2.394454e-01	3.292446e+03
0.000000e+00	6.074354e-01	5.020455e-01	6.703647e-01	2.394454e-01	3.292446e+03
0.000000e+00	6.074354e-01	9.661871e-01	3.385105e-01	2.394454e-01	3.292446e+03
0.000000e+00	6.074354e-01	9.661871e-01	6.703647e-01	8.331699e-01	3.292446e+03
0.000000e+00	6.074354e-01	9.661871e-01	6.703647e-01	2.394454e-01	3.267803e+03
1.000000e+00	6.074354e-01	5.020455e-01	3.385105e-01	8.331699e-01	3.267803e+03
1.000000e+00	1.844338e-01	9.661871e-01	3.385105e-01	8.331699e-01	3.267803e+03
1.000000e+00	1.844338e-01	5.020455e-01	6.703647e-01	8.331699e-01	3.267803e+03
0.000000e+00	1.844338e-01	5.020455e-01	3.385105e-01	2.394454e-01	3.267803e+03
1.000000e+00	1.844338e-01	5.020455e-01	3.385105e-01	8.331699e-01	3.292446e+03
1.000000e+00	1.844338e-01	5.020455e-01	3.385105e-01	8.331699e-01	3.267803e+03
1.000000e+00	2.411223e-01	1.454132e-01	1.631462e-01	8.069908e-01	5.105272e+03
1.000000e+00	9.302244e-01	1.454132e-01	1.631462e-01	8.069908e-01	5.105272e+03
1.000000e+00	2.411223e-01	1.245775e-01	1.631462e-01	8.069908e-01	5.105272e+03
1.000000e+00	2.411223e-01	1.454132e-01	7.743095e-01	8.069908e-01	5.105272e+03
0.000000e+00	2.411223e-01	1.454132e-01	1.631462e-01	1.892099e-01	5.105272e+03
1.000000e+00	2.411223e-01	1.454132e-01	1.631462e-01	8.069908e-01	5.102597e+03
0.000000e+00	2.411223e-01	1.245775e-01	7.743095e-01	1.892099e-01	5.102597e+03
0.000000e+00	9.302244e-01	1.454132e-01	7.743095e-01	1.892099e-01	5.102597e+03
0.000000e+00	9.302244e-01	1.245775e-01	1.631462e-01	1.892099e-01	5.102597e+03
0.000000e+00	9.302244e-01	1.245775e-01	7.743095e-01	8.069908e-01	5.102597e+03
0.000000e+00	9.302244e-01	1.245775e-01	7.743095e-01	1.892099e-01	5.105272e+03
0.000000e+00	9.302244e-01	1.245775e-01	7.743095e-01	1.892099e-01	5.102597e+03
1.000000e+00	2.864045e-01	6.846956e-01	7.796419e-01	3.409936e-01	4.438278e+03
1.000000e+00	5.885856e-01	6.846956e-01	7.796419e-01	3.409936e-01	4.438278e+03
1.000000e+00	2.864045e-01	7.569787e-01	7.796419e-01	3.409936e-01	4.438278e+03
1.000000e+00	2.864045e-01	6.846956e-01	6.950667e-01	3.409936e-01	4.438278e+03
0.000000e+00	2.864045e-01	6.846956e-01	7.796419e-01	2.816622e-01	4.438278e+03
0.000000e+00	2.864045e-01	6.846956e-01	7.796419e-01	3.409936e-01	4.574513e+03
1.000000e+00	2.864045e-01	7.569787e-01	6.950667e-01	2.816622e-01	4.574513e+03
0.000000e+00	5.885856e-01	6.846956e-01	6.950667e-01	2.816622e-01	4.574513e+03
0.000000e+00	5.885856e-01	7.569787e-01	7.796419e-01	2.816622e-01	4.574513e+03
1.000000e+00	5.885856e-01	7.569787e-01	6.950667e-01	3.409936e-01	4.574513e+03
0.000000e+00	5.885856e-01	7.569787e-01	6.950667e-01	2.816622e-01	4.438278e+03
0.000000e+00	5.885856e-01	7.569787e-01	6.950667e-01	2.816622e-01	4.574513e+03
1.000000e+00	9.352282e-01	4.889212e-01	2.725896e-01	6.428511e-01	3.870425e+03
