nbr_apop	apop_pos	epi_size	cell_definitions/cell_definition/phenotype/mechanics/cell_adhesion_affinities/cell_adhesion_affinity_epi_inter_epi_inter__	[_'_c_e_l_l___r_u_l_e_'_,_ _'_2_'_,_ _'_5_'_]
1.700000e+01	-1.635627e+01	1.556197e+02	3.304488e-01	2.732825e+00
1.700000e+01	-1.635627e+01	1.556197e+02	3.304488e-01	2.732825e+00
7.000000e+00	-5.107825e+01	1.632764e+02	4.694249e-02	2.369865e-01
7.000000e+00	-5.107825e+01	1.632764e+02	4.694249e-02	2.732825e+00
1.300000e+01	-6.988565e+01	1.585903e+02	1.417831e-01	3.902193e+00
6.000000e+00	-8.366726e+01	1.589091e+02	5.380436e-01	3.902193e+00
1.300000e+01	-6.988565e+01	1.585903e+02	1.417831e-01	1.924507e+00
1.300000e+01	-6.988565e+01	1.585903e+02	1.417831e-01	1.924507e+00
6.000000e+00	-8.366726e+01	1.589091e+02	5.380436e-01	3.902193e+00
6.000000e+00	-8.366726e+01	1.589091e+02	5.380436e-01	1.924507e+00
7.000000e+00	-6.110674e+01	1.556772e+02	5.500955e-01	1.676722e+00
1.700000e+01	-6.591828e+01	1.511321e+02	4.675943e-01	1.676722e+00
7.000000e+00	-6.110674e+01	1.556772e+02	5.500955e-01	3.175562e+00
7.000000e+00	-6.110674e+01	1.556772e+02	5.500955e-01	3.175562e+00
1.700000e+01	-6.591828e+01	1.511321e+02	4.675943e-01	1.676722e+00
1.700000e+01	-6.591828e+01	1.511321e+02	4.675943e-01	3.175562e+00
1.300000e+01	-3.130105e+01	1.578247e+02	7.397860e-01	3.440350e+00
1.800000e+01	-6.389492e+01	1.556048e+02	2.440205e-01	3.440350e+00
1.300000e+01	-3.130105e+01	1.578247e+02	7.397860e-01	3.812031e+00
1.300000e+01	-3.130105e+01	1.578247e+02	7.397860e-01	3.812031e+00
1.800000e+01	-6.389492e+01	1.556048e+02	2.440205e-01	3.440350e+00
1.800000e+01	-6.389492e+01	1.556048e+02	2.440205e-01	3.812031e+00
1.700000e+01	-6.698324e+01	1.562359e+02	8.585301e-02	1.247023e+00
1.400000e+01	-5.809106e+01	1.540341e+02	7.517296e-01	1.247023e+00
1.700000e+01	-6.698324e+01	1.562359e+02	8.585301e-02	1.042565e+00
1.700000e+01	-6.698324e+01	1.562359e+02	8.585301e-02	1.042565e+00
1.400000e+01	-5.809106e+01	1.540341e+02	7.517296e-01	1.247023e+00
1.400000e+01	-5.809106e+01	1.540341e+02	7.517296e-01	1.042565e+00
9.000000e+00	-6.844752e+01	1.568124e+02	3.951698e-01	2.885116e+00
1.000000e+01	-6.479388e+01	1.574470e+02	2.725839e-01	2.885116e+00
9.000000e+00	-6.844752e+01	1.568124e+02	3.951698e-01	2.353280e+00
9.000000e+00	-6.844752e+01	1.568124e+02	3.951698e-01	2.353280e+00
1.000000e+01	-6.479388e+01	1.574470e+02	2.725839e-01	2.885116e+00
1.000000e+01	-6.479388e+01	1.574470e+02	2.725839e-01	2.353280e+00
1.600000e+01	-3.728010e+01	1.522631e+02	8.034850e-01	6.839969e-01
1.600000e+01	-5.406165e+01	1.520149e+02	7.334207e-01	6.839969e-01
1.600000e+01	-3.728010e+01	1.522631e+02	8.034850e-01	6.271018e-01
1.600000e+01	-3.728010e+01	1.522631e+02	8.034850e-01	6.271018e-01
1.600000e+01	-5.406165e+01	1.520149e+02	7.334207e-01	6.839969e-01
1.600000e+01	-5.406165e+01	1.520149e+02	7.334207e-01	6.271018e-01
1.900000e+01	-7.219961e+01	1.534006e+02	7.513004e-01	2.868356e+00
1.000000e+01	-1.393245e+01	1.626465e+02	1.268478e-03	2.868356e+00
1.900000e+01	-7.219961e+01	1.534006e+02	7.513004e-01	3.417367e+00
1.900000e+01	-7.219961e+01	1.534006e+02	7.513004e-01	3.417367e+00
1.000000e+01	-1.393245e+01	1.626465e+02	1.268478e-03	2.868356e+00
1.000000e+01	-1.393245e+01	1.626465e+02	1.268478e-03	3.417367e+00
2.000000e+01	-2.089664e+01	1.558719e+02	4.093906e-01	5.738437e-01
1.200000e+01	-4.323325e+01	1.537652e+02	9.935662e-01	5.738437e-01
2.000000e+01	-2.089664e+01	1.558719e+02	4.093906e-01	1.682649e+00
2.000000e+01	-2.089664e+01	1.558719e+02	4.093906e-01	1.682649e+00
1.200000e+01	-4.323325e+01	1.537652e+02	9.935662e-01	5.738437e-01
1.200000e+01	-4.323325e+01	1.537652e+02	9.935662e-01	1.682649e+00
1.400000e+01	-1.965671e+01	1.577819e+02	9.421520e-02	3.298933e+00
1.300000e+01	-2.905464e-01	1.544291e+02	4.839334e-01	3.298933e+00
1.400000e+01	-1.965671e+01	1.577819e+02	9.421520e-02	2.990212e+00
1.400000e+01	-1.965671e+01	1.577819e+02	9.421520e-02	2.990212e+00
1.300000e+01	-2.905464e-01	1.544291e+02	4.839334e-01	3.298933e+00
1.300000e+01	-2.905464e-01	1.544291e+02	4.839334e-01	2.990212e+00
1.500000e+01	-5.231657e+01	1.529028e+02	6.895537e-01	1.012214e+00
1.500000e+01	-5.387043e+01	1.562967e+02	5.231087e-01	1.012214e+00
1.500000e+01	-5.231657e+01	1.529028e+02	6.895537e-01	2.433782e-01
1.500000e+01	-5.231657e+01	1.529028e+02	6.895537e-01	2.433782e-01
1.500000e+01	-5.387043e+01	1.562967e+02	5.231087e-01	1.012214e+00
1.500000e+01	-5.387043e+01	1.562967e+02	5.231087e-01	2.433782e-01
2.400000e+01	7.541794e+00	1.530499e+02	5.047457e-01	3.854542e+00
1.900000e+01	4.500899e+00	1.519291e+02	7.974562e-01	3.854542e+00
2.400000e+01	7.541794e+00	1.530499e+02	5.047457e-01	8.528177e-01
2.400000e+01	7.541794e+00	1.530499e+02	5.047457e-01	8.528177e-01
1.900000e+01	4.500899e+00	1.519291e+02	7.974562e-01	3.854542e+00
1.900000e+01	4.500899e+00	1.519291e+02	7.974562e-01	8.528177e-01
1.300000e+01	-1.626050e+01	1.580123e+02	1.628408e-01	1.598023e+00
8.000000e+00	-1.137847e+01	1.594543e+02	1.960361e-01	1.598023e+00
1.300000e+01	-1.626050e+01	1.580123e+02	1.628408e-01	2.127511e+00
1.300000e+01	-1.626050e+01	1.580123e+02	1.628408e-01	2.127511e+00
8.000000e+00	-1.137847e+01	1.594543e+02	1.960361e-01	1.598023e+00
8.000000e+00	-1.137847e+01	1.594543e+02	1.960361e-01	2.127511e+00
1.600000e+01	-4.478819e+01	1.532438e+02	3.495522e-01	2.297881e+00
1.000000e+01	-6.476882e+01	1.547112e+02	7.171360e-01	2.297881e+00
1.600000e+01	-4.478819e+01	1.532438e+02	3.495522e-01	1.315035e+00
1.600000e+01	-4.478819e+01	1.532438e+02	3.495522e-01	1.315035e+00
1.000000e+01	-6.476882e+01	1.547112e+02	7.171360e-01	2.297881e+00
1.000000e+01	-6.476882e+01	1.547112e+02	7.171360e-01	1.315035e+00
1.600000e+01	-6.436299e+01	1.493166e+02	9.448955e-01	3.356902e-02
1.100000e+01	-7.456419e+01	1.566300e+02	2.875864e-01	3.356902e-02
1.600000e+01	-6.436299e+01	1.493166e+02	9.448955e-01	3.539493e+00
1.600000e+01	-6.436299e+01	1.493166e+02	9.448955e-01	3.539493e+00
1.100000e+01	-7.456419e+01	1.566300e+02	2.875864e-01	3.356902e-02
1.100000e+01	-7.456419e+01	1.566300e+02	2.875864e-01	3.539493e+00
1.600000e+01	-6.522198e+01	1.541879e+02	8.981076e-01	3.077716e+00
1.300000e+01	-3.749411e+01	1.540527e+02	6.817203e-01	3.077716e+00
1.600000e+01	-6.522198e+01	1.541879e+02	8.981076e-01	2.389832e+00
1.600000e+01	-6.522198e+01	1.541879e+02	8.981076e-01	2.389832e+00
1.300000e+01	-3.749411e+01	1.540527e+02	6.817203e-01	3.077716e+00
1.300000e+01	-3.749411e+01	1.540527e+02	6.817203e-01	2.389832e+00
9.000000e+00	1.055695e+00	1.550008e+02	3.025290e-01	1.375408e+00
7.000000e+00	-8.246086e+01	1.575732e+02	3.146402e-01	1.375408e+00
9.000000e+00	1.055695e+00	1.550008e+02	3.025290e-01	6.567894e-01
9.000000e+00	1.055695e+00	1.550008e+02	3.025290e-01	6.567894e-01
7.000000e+00	-8.246086e+01	1.575732e+02	3.146402e-01	1.375408e+00
7.000000e+00	-8.246086e+01	1.575732e+02	3.146402e-01	6.567894e-01
1.300000e+01	-6.529630e+01	1.561242e+02	2.407401e-01	2.514659e+00
2.200000e+01	-6.453681e+01	1.510117e+02	8.328413e-01	2.514659e+00
1.300000e+01	-6.529630e+01	1.561242e+02	2.407401e-01	3.954763e+00
1.300000e+01	-6.529630e+01	1.561242e+02	2.407401e-01	3.954763e+00
2.200000e+01	-6.453681e+01	1.510117e+02	8.328413e-01	2.514659e+00
2.200000e+01	-6.453681e+01	1.510117e+02	8.328413e-01	3.954763e+00
1.400000e+01	-6.415082e+01	1.545124e+02	5.829133e-01	8.201436e-01
1.700000e+01	6.940036e+00	1.550770e+02	1.688908e-01	8.201436e-01
1.400000e+01	-6.415082e+01	1.545124e+02	5.829133e-01	1.207656e+00
1.400000e+01	-6.415082e+01	1.545124e+02	5.829133e-01	1.207656e+00
1.700000e+01	6.940036e+00	1.550770e+02	1.688908e-01	8.201436e-01
1.700000e+01	6.940036e+00	1.550770e+02	1.688908e-01	1.207656e+00
1.600000e+01	-6.879143e+01	1.536451e+02	6.427058e-01	2.084702e+00
1.300000e+01	-5.316718e+01	1.568914e+02	3.864755e-01	2.084702e+00
1.600000e+01	-6.879143e+01	1.536451e+02	6.427058e-01	1.821715e+00
1.600000e+01	-6.879143e+01	1.536451e+02	6.427058e-01	1.821715e+00
1.300000e+01	-5.316718e+01	1.568914e+02	3.864755e-01	2.084702e+00
1.300000e+01	-5.316718e+01	1.568914e+02	3.864755e-01	1.821715e+00
1.100000e+01	-6.696016e+01	1.606008e+02	4.713004e-02	3.580420e-01
1.000000e+01	-7.444432e+01	1.535450e+02	6.131814e-01	3.580420e-01
1.100000e+01	-6.696016e+01	1.606008e+02	4.713004e-02	3.095220e+00
1.100000e+01	-6.696016e+01	1.606008e+02	4.713004e-02	3.095220e+00
1.000000e+01	-7.444432e+01	1.535450e+02	6.131814e-01	3.580420e-01
1.000000e+01	-7.444432e+01	1.535450e+02	6.131814e-01	3.095220e+00
1.200000e+01	-8.306863e+01	1.537110e+02	4.873520e-01	3.524468e+00
1.500000e+01	-6.640156e+01	1.615997e+02	9.863483e-02	3.524468e+00
1.200000e+01	-8.306863e+01	1.537110e+02	4.873520e-01	2.840695e-01
1.200000e+01	-8.306863e+01	1.537110e+02	4.873520e-01	2.840695e-01
1.500000e+01	-6.640156e+01	1.615997e+02	9.863483e-02	3.524468e+00
1.500000e+01	-6.640156e+01	1.615997e+02	9.863483e-02	2.840695e-01
9.000000e+00	-6.574107e+01	1.551904e+02	8.295280e-01	1.790015e+00
1.500000e+01	-8.461480e+00	1.551240e+02	9.034630e-01	1.790015e+00
9.000000e+00	-6.574107e+01	1.551904e+02	8.295280e-01	2.509287e+00
9.000000e+00	-6.574107e+01	1.551904e+02	8.295280e-01	2.509287e+00
1.500000e+01	-8.461480e+00	1.551240e+02	9.034630e-01	1.790015e+00
1.500000e+01	-8.461480e+00	1.551240e+02	9.034630e-01	2.509287e+00
4.000000e+00	-7.449071e+01	1.541818e+02	8.166925e-01	2.194872e+00
1.200000e+01	-6.781750e+01	1.556539e+02	5.540112e-01	2.194872e+00
4.000000e+00	-7.449071e+01	1.541818e+02	8.166925e-01	3.613643e+00
4.000000e+00	-7.449071e+01	1.541818e+02	8.166925e-01	3.613643e+00
1.200000e+01	-6.781750e+01	1.556539e+02	5.540112e-01	2.194872e+00
1.200000e+01	-6.781750e+01	1.556539e+02	5.540112e-01	3.613643e+00
1.800000e+01	2.382435e+01	1.518677e+02	4.747645e-01	4.994462e-01
1.000000e+01	-1.486746e+01	1.556101e+02	4.525579e-01	4.994462e-01
1.800000e+01	2.382435e+01	1.518677e+02	4.747645e-01	1.365574e+00
1.800000e+01	2.382435e+01	1.518677e+02	4.747645e-01	1.365574e+00
1.000000e+01	-1.486746e+01	1.556101e+02	4.525579e-01	4.994462e-01
1.000000e+01	-1.486746e+01	1.556101e+02	4.525579e-01	1.365574e+00
1.500000e+01	-3.965054e+01	1.636670e+02	3.652222e-02	3.630742e+00
1.500000e+01	-6.937383e+01	1.552599e+02	9.624560e-01	3.630742e+00
1.500000e+01	-3.965054e+01	1.636670e+02	3.652222e-02	2.045796e+00
1.500000e+01	-3.965054e+01	1.636670e+02	3.652222e-02	2.045796e+00
1.500000e+01	-6.937383e+01	1.552599e+02	9.624560e-01	3.630742e+00
1.500000e+01	-6.937383e+01	1.552599e+02	9.624560e-01	2.045796e+00
1.300000e+01	-4.900254e+00	1.531848e+02	6.318578e-01	1.927523e+00
1.700000e+01	-6.100096e+01	1.615030e+02	3.288223e-02	1.927523e+00
1.300000e+01	-4.900254e+00	1.531848e+02	6.318578e-01	8.098429e-01
1.300000e+01	-4.900254e+00	1.531848e+02	6.318578e-01	8.098429e-01
1.700000e+01	-6.100096e+01	1.615030e+02	3.288223e-02	1.927523e+00
1.700000e+01	-6.100096e+01	1.615030e+02	3.288223e-02	8.098429e-01
1.000000e+01	-6.592453e+01	1.556172e+02	5.642241e-01	3.218807e+00
1.500000e+01	-5.635353e+01	1.569001e+02	2.564484e-01	3.218807e+00
