nbr_breaks	Group_epib1	Group_epib2	Group_epib2	Group_m2	Group_m2	Group_m1	Group_m3	Group_m3
5.000000e+00	4.947527e-02	7.018660e-01	7.593423e-01	3.209816e-01	9.353942e-01	2.832701e-01	1.251051e-01	2.121807e-01
1.000000e+00	8.769604e-01	3.333757e-01	2.301950e-01	4.846025e-01	4.994595e-02	8.033260e-01	6.207278e-01	9.564445e-01
1.000000e+00	7.579578e-01	3.333757e-01	2.301950e-01	4.846025e-01	4.994595e-02	8.033260e-01	6.207278e-01	9.564445e-01
1.000000e+00	8.769604e-01	2.311525e-01	4.882615e-01	4.846025e-01	4.994595e-02	8.033260e-01	6.207278e-01	9.564445e-01
1.000000e+00	8.769604e-01	3.333757e-01	2.301950e-01	8.623743e-01	1.204863e-01	8.033260e-01	6.207278e-01	9.564445e-01
2.000000e+00	8.769604e-01	3.333757e-01	2.301950e-01	4.846025e-01	4.994595e-02	5.311284e-01	6.207278e-01	9.564445e-01
1.000000e+00	8.769604e-01	3.333757e-01	2.301950e-01	4.846025e-01	4.994595e-02	8.033260e-01	6.955060e-01	9.117991e-01
4.000000e+00	8.769604e-01	2.311525e-01	4.882615e-01	8.623743e-01	1.204863e-01	5.311284e-01	6.955060e-01	9.117991e-01
6.000000e+00	7.579578e-01	3.333757e-01	2.301950e-01	8.623743e-01	1.204863e-01	5.311284e-01	6.955060e-01	9.117991e-01
2.000000e+00	7.579578e-01	2.311525e-01	4.882615e-01	4.846025e-01	4.994595e-02	5.311284e-01	6.955060e-01	9.117991e-01
2.000000e+00	7.579578e-01	2.311525e-01	4.882615e-01	8.623743e-01	1.204863e-01	8.033260e-01	6.955060e-01	9.117991e-01
3.000000e+00	7.579578e-01	2.311525e-01	4.882615e-01	8.623743e-01	1.204863e-01	5.311284e-01	6.207278e-01	9.564445e-01
2.000000e+00	7.579578e-01	2.311525e-01	4.882615e-01	8.623743e-01	1.204863e-01	5.311284e-01	6.955060e-01	9.117991e-01
0.000000e+00	9.849022e-01	6.967752e-01	7.395999e-01	1.268415e-01	6.563924e-01	9.724455e-01	3.514002e-02	5.877256e-01
0.000000e+00	5.514786e-01	6.967752e-01	7.395999e-01	1.268415e-01	6.563924e-01	9.724455e-01	3.514002e-02	5.877256e-01
0.000000e+00	9.849022e-01	5.943158e-01	4.109426e-01	1.268415e-01	6.563924e-01	9.724455e-01	3.514002e-02	5.877256e-01
0.000000e+00	9.849022e-01	6.967752e-01	7.395999e-01	8.876784e-01	4.486022e-01	9.724455e-01	3.514002e-02	5.877256e-01
0.000000e+00	9.849022e-01	6.967752e-01	7.395999e-01	1.268415e-01	6.563924e-01	3.162304e-01	3.514002e-02	5.877256e-01
0.000000e+00	9.849022e-01	6.967752e-01	7.395999e-01	1.268415e-01	6.563924e-01	9.724455e-01	2.817934e-01	3.229809e-01
0.000000e+00	9.849022e-01	5.943158e-01	4.109426e-01	8.876784e-01	4.486022e-01	3.162304e-01	2.817934e-01	3.229809e-01
1.000000e+00	5.514786e-01	6.967752e-01	7.395999e-01	8.876784e-01	4.486022e-01	3.162304e-01	2.817934e-01	3.229809e-01
1.000000e+00	5.514786e-01	5.943158e-01	4.109426e-01	1.268415e-01	6.563924e-01	3.162304e-01	2.817934e-01	3.229809e-01
0.000000e+00	5.514786e-01	5.943158e-01	4.109426e-01	8.876784e-01	4.486022e-01	9.724455e-01	2.817934e-01	3.229809e-01
5.000000e+00	5.514786e-01	5.943158e-01	4.109426e-01	8.876784e-01	4.486022e-01	3.162304e-01	3.514002e-02	5.877256e-01
3.000000e+00	5.514786e-01	5.943158e-01	4.109426e-01	8.876784e-01	4.486022e-01	3.162304e-01	2.817934e-01	3.229809e-01
4.000000e+00	4.476056e-01	1.647722e-01	1.676507e-01	8.392170e-01	1.934787e-01	2.421065e-01	8.141855e-01	1.957351e-01
5.000000e+00	2.638910e-01	1.647722e-01	1.676507e-01	8.392170e-01	1.934787e-01	2.421065e-01	8.141855e-01	1.957351e-01
6.000000e+00	4.476056e-01	6.501240e-02	8.424299e-01	8.392170e-01	1.934787e-01	2.421065e-01	8.141855e-01	1.957351e-01
5.000000e+00	4.476056e-01	1.647722e-01	1.676507e-01	4.289805e-01	5.135857e-01	2.421065e-01	8.141855e-01	1.957351e-01
0.000000e+00	4.476056e-01	1.647722e-01	1.676507e-01	8.392170e-01	1.934787e-01	6.231703e-01	8.141855e-01	1.957351e-01
1.000000e+01	4.476056e-01	1.647722e-01	1.676507e-01	8.392170e-01	1.934787e-01	2.421065e-01	8.522006e-01	5.530425e-01
1.000000e+00	4.476056e-01	6.501240e-02	8.424299e-01	4.289805e-01	5.135857e-01	6.231703e-01	8.522006e-01	5.530425e-01
0.000000e+00	2.638910e-01	1.647722e-01	1.676507e-01	4.289805e-01	5.135857e-01	6.231703e-01	8.522006e-01	5.530425e-01
1.000000e+00	2.638910e-01	6.501240e-02	8.424299e-01	8.392170e-01	1.934787e-01	6.231703e-01	8.522006e-01	5.530425e-01
1.100000e+01	2.638910e-01	6.501240e-02	8.424299e-01	4.289805e-01	5.135857e-01	2.421065e-01	8.522006e-01	5.530425e-01
