nbr_apoptosis	mean_pos_apop	epi_size	cell_definitions/cell_definition/phenotype/death/model/death_rate_epi_inter___	cell_rule_2_5	cell_rule_2_6
1.200000e+01	2.963950e+01	1.881574e+02	8.185047e-04	4.123667e-01	2.134220e+00
4.000000e+00	2.904461e+01	1.962295e+02	8.185047e-04	4.123667e-01	2.925668e+00
1.040000e+02	-3.130893e+01	1.502367e+02	7.873957e-04	2.137185e+00	3.760918e+00
8.000000e+00	-7.085612e+01	1.901762e+02	8.783032e-05	2.137185e+00	3.760918e+00
1.750000e+02	-3.013698e+01	4.492719e+01	7.873957e-04	3.872889e+00	3.760918e+00
8.200000e+01	-1.588051e+01	1.409497e+02	7.873957e-04	2.137185e+00	3.862268e+00
1.610000e+02	-2.154634e+01	5.971146e+01	7.873957e-04	3.872889e+00	3.862268e+00
8.000000e+00	-6.646596e+01	1.907283e+02	8.783032e-05	2.137185e+00	3.862268e+00
4.500000e+01	-3.555293e+01	1.765107e+02	8.783032e-05	3.872889e+00	3.760918e+00
4.500000e+01	-3.555293e+01	1.765107e+02	8.783032e-05	3.872889e+00	3.862268e+00
1.880000e+02	-1.395328e+01	4.261204e+01	7.739838e-04	3.615664e+00	1.109113e+00
1.690000e+02	-1.910477e+01	7.509386e+01	6.971922e-04	3.615664e+00	1.109113e+00
1.700000e+02	-1.813913e+01	5.494869e+01	7.739838e-04	2.471888e+00	1.109113e+00
1.760000e+02	-2.786587e+01	5.328885e+01	7.739838e-04	3.615664e+00	1.615814e+00
1.550000e+02	-1.729054e+01	4.563246e+01	7.739838e-04	2.471888e+00	1.615814e+00
1.640000e+02	-2.404131e+01	3.522920e+01	6.971922e-04	3.615664e+00	1.615814e+00
1.750000e+02	-1.738636e+01	6.266998e+01	6.971922e-04	2.471888e+00	1.109113e+00
1.660000e+02	-2.750291e+01	7.136968e+01	6.971922e-04	2.471888e+00	1.615814e+00
2.900000e+01	-6.352510e+01	1.827079e+02	3.930534e-04	2.048097e+00	4.982322e+00
2.700000e+01	-4.934606e+00	1.784139e+02	4.589609e-04	2.048097e+00	4.982322e+00
1.500000e+02	-3.313543e+01	8.674714e+01	3.930534e-04	5.198913e+00	4.982322e+00
2.700000e+01	2.660925e+01	1.773279e+02	3.930534e-04	2.048097e+00	4.679246e+00
1.500000e+02	-3.313543e+01	8.674714e+01	3.930534e-04	5.198913e+00	4.679246e+00
3.100000e+01	-6.461596e+01	1.846475e+02	4.589609e-04	2.048097e+00	4.679246e+00
